job_id,job_title,company,location,required_skills,experience_level,employment_type,industry,salary_min,salary_max,posted_date,description
1,Data Scientist,Google,"San Francisco, CA","Python, Machine Learning, SQL, Statistics",Entry Level,Full-time,Technology,108614,133309,2024-01-01,Exciting opportunity to work with cutting-edge AI and ML technologies.
2,Software Engineer,Microsoft,"Seattle, WA","Java, Python, SQL, Git, Agile",Mid Level,Part-time,Healthcare,55999,100809,2024-01-02,Join our engineering team to build scalable software solutions.
3,Product Manager,Amazon,"New York, NY","Strategy, Analytics, Communication, Leadership",Senior Level,Contract,Finance,60346,95420,2024-01-03,Lead product strategy and work cross-functionally with engineering teams.
4,UX Designer,Apple,"Austin, TX","Design, Prototyping, User Research, Figma",Executive,Remote,Education,50054,175121,2024-01-04,Design intuitive user experiences for our mobile and web applications.
5,DevOps Engineer,Facebook,"Boston, MA","Docker, Kubernetes, AWS, Python, Linux",Entry Level,Full-time,Retail,110999,159200,2024-01-05,Manage cloud infrastructure and deployment pipelines.
6,Business Analyst,Netflix,"Chicago, IL","SQL, Excel, Analytics, Communication",Mid Level,Part-time,Manufacturing,118351,147085,2024-01-06,Analyze business data to drive strategic decision-making.
7,Marketing Manager,Uber,"Los Angeles, CA","Marketing, Analytics, Communication, Strategy",Senior Level,Contract,Entertainment,55589,188045,2024-01-07,Develop and execute marketing campaigns for our products.
8,Sales Manager,Airbnb,"Denver, CO","Sales, Communication, CRM, Leadership",Executive,Remote,Consulting,88084,178863,2024-01-08,Drive sales growth and manage key customer relationships.
9,Project Manager,Tesla,"San Francisco, CA","Project Management, Agile, Communication, Leadership",Entry Level,Full-time,Technology,83054,154807,2024-01-09,Coordinate cross-functional projects and ensure timely delivery.
10,Quality Assurance Engineer,SpaceX,"Seattle, WA","Testing, Automation, Python, SQL",Mid Level,Part-time,Healthcare,93712,113712,2024-01-10,Ensure quality standards through automated testing and validation.
11,Data Scientist,Google,"New York, NY","Python, Machine Learning, SQL, Statistics",Senior Level,Contract,Finance,98071,118071,2024-01-11,Exciting opportunity to work with cutting-edge AI and ML technologies.
12,Software Engineer,Microsoft,"Austin, TX","Java, Python, SQL, Git, Agile",Executive,Remote,Education,53944,165004,2024-01-12,Join our engineering team to build scalable software solutions.
13,Product Manager,Amazon,"Boston, MA","Strategy, Analytics, Communication, Leadership",Entry Level,Full-time,Retail,81556,100563,2024-01-13,Lead product strategy and work cross-functionally with engineering teams.
14,UX Designer,Apple,"Chicago, IL","Design, Prototyping, User Research, Figma",Mid Level,Part-time,Manufacturing,100868,135735,2024-01-14,Design intuitive user experiences for our mobile and web applications.
15,DevOps Engineer,Facebook,"Los Angeles, CA","Docker, Kubernetes, AWS, Python, Linux",Senior Level,Contract,Entertainment,105460,125460,2024-01-15,Manage cloud infrastructure and deployment pipelines.
16,Business Analyst,Netflix,"Denver, CO","SQL, Excel, Analytics, Communication",Executive,Remote,Consulting,105745,161308,2024-01-16,Analyze business data to drive strategic decision-making.
17,Marketing Manager,Uber,"San Francisco, CA","Marketing, Analytics, Communication, Strategy",Entry Level,Full-time,Technology,64734,125964,2024-01-17,Develop and execute marketing campaigns for our products.
18,Sales Manager,Airbnb,"Seattle, WA","Sales, Communication, CRM, Leadership",Mid Level,Part-time,Healthcare,53331,88714,2024-01-18,Drive sales growth and manage key customer relationships.
19,Project Manager,Tesla,"New York, NY","Project Management, Agile, Communication, Leadership",Senior Level,Contract,Finance,117928,137928,2024-01-19,Coordinate cross-functional projects and ensure timely delivery.
20,Quality Assurance Engineer,SpaceX,"Austin, TX","Testing, Automation, Python, SQL",Executive,Remote,Education,51491,151092,2024-01-20,Ensure quality standards through automated testing and validation.
21,Data Scientist,Google,"Boston, MA","Python, Machine Learning, SQL, Statistics",Entry Level,Full-time,Retail,74870,184798,2024-01-21,Exciting opportunity to work with cutting-edge AI and ML technologies.
22,Software Engineer,Microsoft,"Chicago, IL","Java, Python, SQL, Git, Agile",Mid Level,Part-time,Manufacturing,115672,135672,2024-01-22,Join our engineering team to build scalable software solutions.
23,Product Manager,Amazon,"Los Angeles, CA","Strategy, Analytics, Communication, Leadership",Senior Level,Contract,Entertainment,97354,117354,2024-01-23,Lead product strategy and work cross-functionally with engineering teams.
24,UX Designer,Apple,"Denver, CO","Design, Prototyping, User Research, Figma",Executive,Remote,Consulting,100903,125766,2024-01-24,Design intuitive user experiences for our mobile and web applications.
25,DevOps Engineer,Facebook,"San Francisco, CA","Docker, Kubernetes, AWS, Python, Linux",Entry Level,Full-time,Technology,72641,193364,2024-01-25,Manage cloud infrastructure and deployment pipelines.
26,Business Analyst,Netflix,"Seattle, WA","SQL, Excel, Analytics, Communication",Mid Level,Part-time,Healthcare,90254,110254,2024-01-26,Analyze business data to drive strategic decision-making.
27,Marketing Manager,Uber,"New York, NY","Marketing, Analytics, Communication, Strategy",Senior Level,Contract,Finance,88173,133520,2024-01-27,Develop and execute marketing campaigns for our products.
28,Sales Manager,Airbnb,"Austin, TX","Sales, Communication, CRM, Leadership",Executive,Remote,Education,50919,88429,2024-01-28,Drive sales growth and manage key customer relationships.
29,Project Manager,Tesla,"Boston, MA","Project Management, Agile, Communication, Leadership",Entry Level,Full-time,Retail,84784,116541,2024-01-29,Coordinate cross-functional projects and ensure timely delivery.
